"GEO_ID","id"
"NAME","Geographic Area Name"
"B15012_001E","Estimate!!Total:"
"B15012_001M","Margin of Error!!Total:"
"B15012_002E","Estimate!!Total:!!Science and Engineering!!Computers, Mathematics and Statistics"
"B15012_002M","Margin of Error!!Total:!!Science and Engineering!!Computers, Mathematics and Statistics"
"B15012_003E","Estimate!!Total:!!Science and Engineering!!Biological, Agricultural, and Environmental Sciences"
"B15012_003M","Margin of Error!!Total:!!Science and Engineering!!Biological, Agricultural, and Environmental Sciences"
"B15012_004E","Estimate!!Total:!!Science and Engineering!!Physical and Related Sciences"
"B15012_004M","Margin of Error!!Total:!!Science and Engineering!!Physical and Related Sciences"
"B15012_005E","Estimate!!Total:!!Science and Engineering!!Psychology"
"B15012_005M","Margin of Error!!Total:!!Science and Engineering!!Psychology"
"B15012_006E","Estimate!!Total:!!Science and Engineering!!Social Sciences"
"B15012_006M","Margin of Error!!Total:!!Science and Engineering!!Social Sciences"
"B15012_007E","Estimate!!Total:!!Science and Engineering!!Engineering"
"B15012_007M","Margin of Error!!Total:!!Science and Engineering!!Engineering"
"B15012_008E","Estimate!!Total:!!Science and Engineering!!Multidisciplinary Studies"
"B15012_008M","Margin of Error!!Total:!!Science and Engineering!!Multidisciplinary Studies"
"B15012_009E","Estimate!!Total:!!Science and Engineering Related Fields"
"B15012_009M","Margin of Error!!Total:!!Science and Engineering Related Fields"
"B15012_010E","Estimate!!Total:!!Business"
"B15012_010M","Margin of Error!!Total:!!Business"
"B15012_011E","Estimate!!Total:!!Education"
"B15012_011M","Margin of Error!!Total:!!Education"
"B15012_012E","Estimate!!Total:!!Arts, Humanities, and Other!!Literature and Languages"
"B15012_012M","Margin of Error!!Total:!!Arts, Humanities, and Other!!Literature and Languages"
"B15012_013E","Estimate!!Total:!!Arts, Humanities, and Other!!Liberal Arts and History"
"B15012_013M","Margin of Error!!Total:!!Arts, Humanities, and Other!!Liberal Arts and History"
"B15012_014E","Estimate!!Total:!!Arts, Humanities, and Other!!Visual and Performing Arts"
"B15012_014M","Margin of Error!!Total:!!Arts, Humanities, and Other!!Visual and Performing Arts"
"B15012_015E","Estimate!!Total:!!Arts, Humanities, and Other!!Communications"
"B15012_015M","Margin of Error!!Total:!!Arts, Humanities, and Other!!Communications"
"B15012_016E","Estimate!!Total:!!Arts, Humanities, and Other!!Other"
"B15012_016M","Margin of Error!!Total:!!Arts, Humanities, and Other!!Other"
